Image_ID,"Posters, Branding","Off-court, Behind the scenes","In-game, Live action"
111,0.24373682,0.054875728,0.7013874
112,0.06737998,0.85976905,0.072851025
113,0.115540124,0.7669783,0.117481574
114,0.81156343,0.08492055,0.10351599
115,0.33333334,0.33333334,0.33333334
116,0.33333334,0.33333334,0.33333334
117,0.11363639,0.76544845,0.12091517
118,0.33333334,0.33333334,0.33333334
119,0.059166495,0.8844364,0.056397073
120,0.43955284,0.111252494,0.44919467
121,0.53968704,0.3924131,0.06789986
122,0.11124462,0.49955213,0.38920325
123,0.24342489,0.6962358,0.060339347
124,0.70598096,0.1826409,0.11137815
125,0.33333334,0.33333334,0.33333334
126,0.22437449,0.20278446,0.57284105
127,0.33333334,0.33333334,0.33333334
128,0.46342576,0.112280406,0.4242939
129,0.1285376,0.15929888,0.71216357
130,0.056449555,0.0560091,0.88754135
131,0.8832008,0.06230138,0.054497804
132,0.19922078,0.302064,0.49871528
133,0.33333334,0.33333334,0.33333334
134,0.113619216,0.7436505,0.14273025
135,0.6649457,0.1681295,0.16692477
136,0.16677776,0.16674696,0.6664753
137,0.44914392,0.08396064,0.46689546
138,0.08595735,0.48732483,0.42671782
139,0.1669824,0.6661112,0.1669064
140,0.04864917,0.9028704,0.048480425
141,0.4130445,0.514257,0.07269847
142,0.083905,0.08443741,0.83165765
143,0.11133995,0.7755279,0.11313212
144,0.111500636,0.77655476,0.11194461
145,0.08513085,0.8312508,0.083618306
146,0.08641796,0.8246597,0.088922344
147,0.84553343,0.08717221,0.0672944
148,0.1667633,0.6653245,0.16791224
149,0.8492066,0.07998053,0.07081284
150,0.06814131,0.26271573,0.66914296
151,0.14065486,0.48354572,0.37579936
152,0.052805915,0.32102644,0.6261676
153,0.09206258,0.81097305,0.09696442
154,0.073245615,0.115370765,0.8113836
155,0.08894712,0.8207449,0.09030803
156,0.05098434,0.27993256,0.6690831
157,0.06688479,0.857482,0.07563315
158,0.41753098,0.069051564,0.51341754
159,0.04181883,0.05007049,0.9081107
160,0.2963052,0.100219555,0.6034752
161,0.33333334,0.33333334,0.33333334
162,0.08379135,0.8318653,0.08434339
163,0.17468576,0.6565889,0.16872531
164,0.058607295,0.06726126,0.87413144
165,0.08588827,0.8292211,0.084890604
166,0.113417044,0.77472943,0.11185348
167,0.058307476,0.062521406,0.87917113
168,0.41025323,0.0607659,0.5289809
169,0.111443095,0.120658375,0.7678985
170,0.16690078,0.6551106,0.17798863
171,0.1111976,0.11604957,0.7727528
172,0.041859537,0.23813072,0.72000974
173,0.46533558,0.42242548,0.11223899
